,equities_list
1972,TCI
1973,LRMR
1974,NCA
1975,AHH
1976,GIK.U
1977,MYRG
1978,GE
1979,QRTEV
1980,MTEM
1981,GLEO.U
1982,IGF
1983,BRLIU
1984,WPX
1985,LMRKO
1986,PRDO
1987,FIBK
1988,AFMD
1989,SUSB
1990,BCAC
1991,FNCB
1992,CKPT
1993,BILI
1994,KRMD
1995,HYRE
1996,CUBE
1997,IDLB
1998,MPV
1999,MEET
2000,VCF
2001,KBWD
2002,BSCL
2003,BWG
2004,DAN
2005,SWM
2006,HSTM
2007,MA
2008,IVC
2009,CCL
2010,BOE
2011,PTSI
2012,MAXN
2013,IPI
2014,INUV
2015,CRTO
2016,HQI
2017,EBAYL
2018,ATEST.C
2019,HA
2020,CORE
2021,KSU
2022,SBH
2023,MRNS
2024,KRMA
2025,TDACU
2026,ANCN
2027,KALU
2028,VEEV
2029,SC
2030,ADRO
2031,MTP
2032,PSCM
2033,GO
2034,CTXS
2035,CBAY
2036,XXII
2037,GMHIU
2038,AWF
2039,WTFCP
2040,LTRN
2041,MS
2042,FGBI
2043,FRG
2044,GNRSW
2045,GXTG
2046,ADTN
2047,MGRC
2048,NTRA
2049,GSAH.WS
2050,DELL
2051,OSUR
2052,PCG
2053,NLSN
2054,UTF
2055,HGLB
2056,MLACW
2057,PACK
2058,PAEWW
2059,EYES
2060,EGOV
2061,ATKR
2062,DMS
2063,WSBC
2064,FWP
2065,OIIM
2066,NEON
2067,CVAC
2068,MAN
2069,VIVE
2070,FRPH
2071,EVK
2072,DB
2073,UMC
2074,EFF
2075,SPNE
2076,HMC
2077,OPGN
2078,XPER
2079,SVA
2080,LMFA
2081,USDP
2082,NTZ
2083,ORMP
2084,EBIZ
2085,CLLS
2086,ARPO
2087,HES
2088,AVTR
2089,RDY
2090,USX
2091,USIO
2092,HYAC
2093,DWEQ
2094,DNP
2095,CURO
2096,WW
2097,BPMP
2098,ACT
2099,LATNW
2100,VOXX
2101,MTL
2102,SNPS
2103,ETRN
2104,MDRR
2105,WK
2106,ELJ
2107,CBH
2108,HCACW
2109,PLYM
2110,DJCO
2111,PSX
2112,ELTK
2113,JCAP
2114,ELAT
2115,YTEN
2116,TWST
2117,BF.A
2118,INBK
2119,ICPT
2120,Z
2121,CMPI
2122,LOVE
2123,JIH.U
2124,ACEL
2125,KBLMW
2126,GPRE
2127,RST
2128,SAN
2129,KRP
2130,DUK
2131,DRAD
2132,PASG
2133,HALL
2134,MDLX
2135,BIB
2136,CLNC
2137,VGR
2138,BSAC
2139,VLYPP
2140,CVV
2141,BYFC
2142,KBWR
2143,HZAC.U
2144,AAME
2145,MBSD
2146,ESI
2147,SMIT
2148,PIHPP
2149,SFIX
2150,SLG
2151,SMG
2152,MKD
2153,PTCT
2154,FBNC
2155,NOVT
2156,DNOW
2157,BSMX
2158,SNUG
2159,AAWW
2160,NMTR
2161,JHI
2162,SBS
2163,CET
2164,NXP
2165,HRL
2166,TKAT
2167,BICK
2168,TME
2169,KODK
2170,HMHC
2171,RMM
2172,SCHN
2173,FATBW
2174,LQDT
2175,EUFN
2176,VBTX
2177,BDGE
2178,CSGP
2179,FLIC
2180,SNFCA
2181,CDMOP
2182,BLK
2183,ADRE
2184,AIRTP
2185,VRNT
2186,GIS
2187,ADIL
2188,AXL
2189,FCCO
2190,PEZ
2191,NI
2192,ERESU
2193,VIST
2194,ETACU
2195,CPB
2196,RPD
2197,BCEL
2198,SPLP
2199,CAKE
2200,MAT
2201,ESSA
2202,ALRM
2203,PAA
2204,HTH
2205,WSTL
2206,PKW
2207,SDG
2208,EVM
2209,BMRC
2210,CLDT
2211,MFC
2212,PLX
2213,DISCA
2214,BDTX
2215,CSX
2216,PSA
2217,ACNB
2218,IRCP
2219,SASR
2220,KAI
2221,CYBE
2222,PD
2223,REPL
2224,DOOR
2225,VCV
2226,AUY
2227,DBI
2228,BGB
2229,POTX
2230,LIVN
2231,PDI
2232,DRRX
2233,SQBG
2234,NEXT
2235,MIND
2236,BPTH
2237,VIAC
2238,UNP
2239,SRNE
2240,J
2241,RDS.A
2242,GGB
2243,ANDAU
2244,WVVIP
2245,FARO
2246,NKTX
2247,PPSI
2248,EVT
2249,FHB
2250,EMD
2251,BIMI
2252,RCB
2253,IBP
2254,MCEF
2255,EPD
2256,PPH
2257,AFINP
2258,TW
2259,MGPI
2260,IDE
2261,CSPI
2262,JWS.U
2263,NWPX
2264,NYMT
2265,DCPH
2266,KZIA
2267,CAPAU
2268,ECF
2269,AIH
2270,BBDC
2271,RDCM
2272,TGNA
2273,AMSF
2274,XGN
2275,SQQQ
2276,MCS
2277,HR
2278,DHF
2279,ADMP
2280,CNFR
2281,TTC
2282,ISRG
2283,PRGX
2284,ACGL
2285,JD
2286,WMK
2287,OFS
2288,AHC
2289,Y
2290,CMLS
2291,SPH
2292,IQV
2293,YORW
2294,GIK.WS
2295,CXDO
2296,PARR
2297,CPTI
2298,AZZ
2299,MC
2300,EW
2301,IMTE
2302,CAMP
2303,BSCM
2304,HMLP
2305,GTHX
2306,IBBJ
2307,SOHON
2308,COLB
2309,PFS
2310,PINS
2311,SFM
2312,REPH
2313,SBE
2314,RELL
2315,PAM
2316,QQXT
2317,GFNCP
2318,ENTX
2319,NUAN
2320,GOLD
2321,CAT
2322,FBP
2323,MESO
2324,NKX
2325,BNR
2326,FOSL
2327,AL
2328,EBMT
2329,RNMC
2330,KSMTU
2331,ALDX
2332,KRTX
2333,ALUS
2334,NES
2335,SLCT
2336,HRTG
2337,GATX
2338,TIGR
2339,UFPT
2340,RMED
2341,AIN
2342,ATIF
2343,TAT
2344,EYPT
2345,BCBP
2346,BMTC
2347,SYNA
2348,MUX
2349,WLTW
2350,APD
2351,EPAM
2352,CXSE
2353,HOTH
2354,ORIC
2355,SLGG
2356,CFXA
2357,BRN
2358,GRIN
2359,BBIO
2360,CLMT
2361,ATH
2362,ALNY
2363,NTCT
2364,EYE
2365,LHX
2366,VXUS
2367,AMCIU
2368,SWX
2369,EXTN
2370,ARL
2371,AKRO
2372,EAE
2373,TRNE
2374,OAC
2375,BLW
2376,TMO
2377,JACK
2378,ARKR
2379,MTR
2380,ENB
2381,SRRA
2382,SCPE.WS
2383,HNP
2384,INSG
2385,KELYB
2386,BSML
2387,AYRO
2388,TALO
2389,DCF
2390,EGO
2391,LTC
2392,DCOMP
2393,NBACW
2394,CUBB
2395,IRET
2396,WTFCM
2397,TFII
2398,PNRG
2399,MHLA
2400,TNC
2401,OXLC
2402,GIL
2403,BC
2404,AIMC
2405,CI
2406,NSTG
2407,EFC
2408,PYPD
2409,CCR
2410,NBRV
2411,EOI
2412,XTLB
2413,RYAAY
2414,AZRX
2415,MPWR
2416,JFK
2417,BK
2418,UVE
2419,NDRAW
2420,SMMF
2421,XAIR
2422,KAR
2423,DE
2424,PAYX
2425,SJ
2426,CRDF
2427,OXM
2428,PEO
2429,ARTLW
2430,TLT
2431,BSBE
2432,BBCP
2433,NBR
2434,LBTYB
2435,QGEN
2436,ETSY
2437,YLCO
2438,SKOR
2439,HAIN
2440,AGE
2441,T
2442,EVC
2443,QTNT
2444,HBM
2445,EQR
2446,HJLIW
2447,CATY
2448,IIM
2449,NUV
2450,IMMP
2451,CFBK
2452,MBIO
2453,PATI
2454,DAX
2455,HECCU
2456,ZOM
2457,DPW
2458,TEI
2459,BX
2460,GM
2461,DRTT
2462,FRBK
2463,SYPR
2464,PHT
2465,VTGN
2466,NRZ
2467,TBI
2468,DTIL
2469,DLPH
2470,THBRU
2471,WU
2472,USEG
2473,BNDX
2474,BAX
2475,IAE
2476,EGP
2477,ADCT
2478,OBSV
2479,SIVB
2480,TSBK
2481,HAE
2482,CDNS
2483,MCK
2484,FR
2485,PTY
2486,BLBD
2487,KBH
2488,DFS
2489,TRN
2490,USMC
2491,SLS
2492,HUBB
2493,COLL
2494,PH
2495,AFG
2496,ARAY
2497,STAF
2498,VREX
2499,IPGP
2500,PAVMZ
2501,HDSN
2502,NML
2503,PBFX
2504,DFP
2505,AIRR
2506,BRLIR
2507,GRTX
2508,FINV
2509,SOAC
2510,MIY
2511,HSKA
2512,NBEV
2513,INBX
2514,SGEN
2515,LUB
2516,CARZ
2517,BRKR
2518,VRA
2519,VNTR
2520,ATV
2521,ADX
2522,USLB
2523,AEMD
2524,PTACW
2525,TBB
2526,PZC
2527,UBFO
2528,CCI
2529,KOPN
2530,IJT
2531,MSGN
2532,PHGE
2533,PFH
2534,FTXL
2535,WTTR
2536,IHC
2537,GSLD
2538,ACIA
2539,SWCH
2540,NTWK
2541,NXE
2542,ESGR
2543,TIGO
2544,FCRZ
2545,RCON
2546,CNSP
2547,LEG
2548,CE
2549,GRA
2550,CLB
2551,DUO
2552,NEOS
2553,VIR
2554,SKX
2555,TBNK
2556,ST
2557,VTWG
2558,TLSA
2559,FKU
2560,SQ
2561,TXN
2562,XEC
2563,ZION
2564,ES
2565,PBTS
2566,WNC
2567,VVPR
2568,TQQQ
2569,OGE
2570,YRCW
2571,ERYP
2572,AKR
2573,AGBA
2574,NCR
2575,TOPS
2576,HFC
2577,DAO
2578,NBAC
2579,PBT
2580,PAIC
2581,CPIX
2582,NCNO
2583,CIH
2584,CHMI
2585,PSMT
2586,HTBK
2587,JOB
2588,CIX
2589,LGIH
2590,CFFAW
2591,SPWR
2592,JCE
2593,NFIN
2594,ISTR
2595,CBB
2596,XP
2597,LBTYA
2598,NEPH
2599,HTHT
2600,BHFAO
2601,CGIX
2602,ATCX
2603,LGF.B
2604,ETY
2605,BCOM
2606,BSL
2607,NTEST.C
2608,MDB
2609,UBS
2610,LOACW
2611,OXSQZ
2612,IBOC
2613,BSRR
2614,IBTB
2615,GNRSU
2616,APHA
2617,PUK
2618,INGR
2619,AER
2620,KLAC
2621,FLT
2622,BGNE
2623,FSK
2624,ATRI
2625,WEX
2626,ENX
2627,CPAC
2628,MKC
2629,PTRS
2630,CTMX
2631,SXC
2632,HST
2633,GCBC
2634,BLNKW
2635,TCBIL
2636,NVGS
2637,NTGR
2638,ORSNW
2639,IMAC
2640,DAC
2641,TCMD
2642,JFKKR
2643,PXD
2644,UBSI
2645,ATEN
2646,HLIT
2647,WBT
2648,WLK
2649,SJR
2650,WABC
2651,FNF
2652,AKCA
2653,UFS
2654,SPI
2655,XRAY
2656,EDOC
2657,DZSI
2658,CFX
2659,WAFD
2660,FCAP
2661,ZLAB
2662,X
2663,MNDO
2664,VCYT
2665,PFIE
2666,AMTI
2667,IPLDP
2668,AVID
2669,BSJL
2670,CALM
2671,AMRHW
2672,PBH
2673,IBA
2674,IBTJ
2675,NNY
2676,PTACU
2677,LIVK
2678,SRC
2679,HCI
2680,PNTG
2681,CODA
2682,MHH
2683,RVT
2684,MPAA
2685,TFFP
2686,NL
2687,CRIS
2688,AAN
2689,FTSI
2690,FMO
2691,YELP
2692,CECE
2693,HBANN
2694,CIZN
2695,FDUSG
2696,EDD
2697,TSC
2698,WMGI
2699,BKU
2700,FORK
2701,BST
2702,CSOD
2703,BRK.A
2704,MET
2705,AGM
2706,MAR
2707,ACA
2708,NXR
2709,CANF
2710,UTZ.WS
2711,FOR
2712,LINX
2713,GIM
2714,ROST
2715,APH
2716,ADMA
2717,UCL
2718,ELVT
2719,FAF
2720,IBTD
2721,NAVI
2722,SSL
2723,ANDA
2724,DXLG
2725,ZTEST
2726,KR
2727,MGEE
2728,CLRB
2729,BMRG
2730,MOH
2731,WNFM
2732,VIV
2733,GIX~
2734,PRS
2735,QVCD
2736,STZ
2737,AQMS
2738,MTX
2739,ACB
2740,CHRS
2741,TMHC
2742,TGLS
2743,OSH
2744,BTEC
2745,RILYI
2746,LITB
2747,RBKB
2748,XPEL
2749,SQFT
2750,DRIV
2751,DVN
2752,AIW
2753,DCTH
2754,OII
2755,HPF
2756,ONEW
2757,LCAPU
2758,YGYI
2759,BOTJ
2760,FMX
2761,PANA.U
2762,CARS
2763,VPG
2764,WELL
2765,PKE
2766,AGFS
2767,DAL
2768,YAC.U
2769,CYCN
2770,SOJA
2771,CDXC
2772,AGNCM
2773,EURN
2774,VUSE
2775,BKCC
2776,SMTX
2777,FPI
2778,CPHC
2779,VHC
2780,OTIS
2781,VPV
2782,EHC
2783,MUR
2784,SRE
2785,ATUS
2786,PLXS
2787,MPW
2788,EB
2789,IART
2790,CXP
2791,TPHS
2792,FCN
2793,CDE
2794,VVNT.WS
2795,BGI
2796,PHG
2797,OSPN
2798,ESBK
2799,LAZ
2800,AGTC
2801,AGM.A
2802,AGNCP
2803,NGG
2804,CCNC
2805,TRIL
2806,PDFS
2807,BKSC
2808,SBSI
2809,HCCO
2810,SIC
2811,BCEI
2812,NGM
2813,PLMR
2814,GSMG
2815,SUMR
2816,NURO
2817,DGNR.U
2818,OLP
2819,JWS
2820,BBL
2821,NTAP
2822,CUTR
2823,YLDE
2824,IMMR
2825,SWTX
2826,RC
2827,VKTX
2828,BBI
2829,LADR
2830,AMC
2831,IMVT
2832,PANW
2833,CRVS
2834,TRI
2835,JRVR
2836,TANNL
2837,SSTI
2838,INSP
2839,RPT
2840,NVCN
2841,TGH
2842,GIX.U
2843,FHN
2844,MKSI
2845,SAMAW
2846,HFRO
2847,HL
2848,COP
2849,RAMP
2850,JMM
2851,MUE
2852,HSIC
2853,BXMX
2854,FATE
2855,IPOB.WS
2856,NSC
2857,CVA
2858,CXO
2859,PS
2860,AFYA
2861,EFR
2862,MIDD
2863,EMR
2864,STOK
2865,AZO
2866,VNOM
2867,ZGNX
2868,PANA.WS
2869,TVE
2870,DOV
2871,ITRN
2872,IBM
2873,INSUU
2874,CSF
2875,BCX
2876,CTEST.O
2877,FEMB
2878,GBT
2879,DGII
2880,CNF
2881,MDWD
2882,ASRT
2883,WPF
2884,CETV
2885,SLQT
2886,LPX
2887,CEI
2888,ROCHW
2889,ESSCW
2890,USXF
2891,ZM
2892,HSDT
2893,CXH
2894,PDS
2895,AIZ
2896,GLADL
2897,APO
2898,IDEX
2899,SWN
2900,EPZM
2901,AVGOP
2902,ACER
2903,PAVMW
2904,PRPH
2905,CTXR
2906,OTEX
2907,TSRI
2908,CHIC
2909,FHI
2910,REGN
2911,CBT
2912,ITGR
2913,LTRPA
2914,IQI
2915,ARC
2916,ENSV
2917,TPL
2918,MVBF
2919,ETX
2920,ANAB
2921,ISNS
2922,DSKEW
2923,GTIM
2924,MTB
2925,PAYS
2926,FDT
2927,ENIA
2928,VTIP
2929,CLVS
2930,CSWC
2931,GSAH.U
2932,CARR
2933,VTWO
2934,CNST
2935,IGIB
2936,VVNT
2937,HTIA
2938,GNFT
2939,CTBB
2940,TECTP
2941,FSBW
2942,XLRN
2943,CSPR
2944,CFO
2945,IMO
2946,LKCO
2947,ESE
2948,ISEM
2949,RA
2950,GRNVR
2951,CVNA
2952,SSTK
2953,IONS
2954,EVG
2955,HPE
2956,BPYU
2957,DWSH
2958,NBY
2959,NPO
2960,MXC
2961,FMY
2962,PMX
2963,CYH
2964,MYI
2965,TLI
2966,LOV
2967,LKOR
2968,DCT
2969,BSJR
2970,HPK
2971,MFV
2972,MMI
2973,BXS
2974,UVV
2975,AON
2976,HY
2977,MCI
2978,BOWXU
2979,WISA
2980,AXTA
2981,LOAN
2982,CPLP
2983,FUN
2984,WH
2985,PTVCA
2986,BMRG.WS
2987,TDC
2988,HAL
2989,BSMP
2990,CLGN
2991,SMMT
2992,AEFC
2993,OPOF
2994,EIGI
2995,CMO
2996,LAC
2997,DVAX
2998,KE
2999,GMZ
3000,GEO
3001,PAHC
3002,PKG
3003,CYRX
3004,AMRS
3005,NIE
3006,STRS
3007,AWH
3008,ETG
3009,MTEX
3010,LIND
3011,GFN
3012,CLS
3013,HCXY
3014,NAN
3015,CNTX
3016,true
3017,RESI
3018,SNSS
3019,SILK
3020,RVMD
3021,AHT
3022,PICO
3023,INOD
3024,TRMB
3025,VCNX
3026,OTLKW
3027,TECH
3028,HPR
3029,DRNA
3030,ARE
3031,GRAF.WS
3032,NEE
3033,VCIT
3034,NETE
3035,BWA
3036,ISSC
3037,VRTV
3038,LPI
3039,PINC
3040,DLPNW
3041,CHE
3042,ISEE
3043,ATR
3044,HVBC
3045,FDUSL
3046,BNY
3047,JIH
3048,NCMI
3049,WRLD
3050,EAI
3051,KREF
3052,GLAD
3053,LZB
3054,BSET
3055,APXTW
3056,RHE
3057,SFUN
3058,SBE.U
3059,BFAM
3060,IAA
3061,KZR
3062,REYN
3063,NCZ
3064,TGC
3065,BGFV
3066,OMER
3067,OTTR
3068,SNGX
3069,PLCE
3070,BZUN
3071,MSON
3072,CIIC
3073,HTBI
3074,DS
3075,EAF
3076,PIE
3077,INTT
3078,VTSI
3079,LMT
3080,SEM
3081,ANAT
3082,ARTNA
3083,ANVS
3084,FSLF
3085,RDI
3086,KEYS
3087,FTEK
3088,DXYN
3089,RKT
3090,JQC
3091,MNR
3092,PRTY
3093,WAB
3094,BHF
3095,SHIPZ
3096,PROV
3097,AMRB
3098,EFT
3099,ORSNR
3100,ACLS
3101,EVLMC
3102,SANW
3103,CDR
3104,CTZ
3105,MMX
3106,FDTS
3107,AVXL
3108,IBTA
3109,AIM
3110,VNQI
3111,GFNSL
3112,TANH
3113,CPAAW
3114,FEAC.U
3115,NLOK
3116,RUHN
3117,GERN
3118,SLDB
3119,SVRA
3120,EYEG
3121,TXRH
3122,GWPH
3123,AVGR
3124,IIVI
3125,HOMB
3126,TMBR
3127,REKR
3128,VALU
3129,CID
3130,CGO
3131,DNI
3132,OPP
3133,CHSCL
3134,RIOT
3135,RM
3136,IRWD
3137,SPR
3138,MFAC.WS
3139,ARYA
3140,DAVA
3141,NWN
3142,MGU
3143,UBCP
3144,CS
3145,TBIO
3146,SMSI
3147,XEL
3148,BKN
3149,AACQ
3150,OEG
3151,PESI
3152,VMC
3153,DNB
3154,LODE
3155,NWLI
3156,HWCC
3157,A
3158,HAS
3159,FISV
3160,AMHC
3161,RNLC
3162,ODT
3163,HNGR
3164,PEBK
3165,USAU
3166,FPAY
3167,JRSH
3168,PBB
3169,BCC
3170,CVE
3171,OMI
3172,INVE
3173,BCDA
3174,TUSA
3175,AR
3176,MLCO
3177,FLWR
3178,KNSL
3179,RILYH
3180,EBTC
3181,ADC
3182,AXTI
3183,EOS
3184,TITN
3185,HYMCZ
3186,TWI
3187,AIMT
3188,TOUR
3189,HMN
3190,BSJP
3191,NUM
3192,REDU
3193,FCCY
3194,R
3195,MAXR
3196,EEMA
3197,PFIN
3198,SYF
3199,TNAV
3200,MFNC
3201,TOTAU
3202,DCP
3203,SOJB
3204,PCH
3205,GWB
3206,VSLR
3207,CHEF
3208,LULU
3209,SOLY
3210,JMPNL
3211,EBS
3212,GNSS
3213,SAMG
3214,FLY
3215,KOD
3216,SNA
3217,IMTXW
3218,RDWR
3219,GMDA
3220,CHRW
3221,LFC
3222,NSYS
3223,LCAHU
3224,MIN
3225,SYBT
3226,PGNY
3227,FTCH
3228,CTEK
3229,MITK
3230,GDV
3231,COWNZ
3232,CYBR
3233,HX
3234,GFED
3235,CPRT
3236,TOTAR
3237,AFB
3238,HKIT
3239,CPAAU
3240,RFM
3241,HE
3242,AEYE
3243,SHLO
3244,CELP
3245,SHOO
3246,BABA
3247,FREQ
3248,UHT
3249,NTR
3250,SPTN
3251,SOLO
3252,CHH
3253,GRAF
3254,AEM
3255,AVDL
3256,GGZ
3257,SWAV
3258,ICUI
3259,PFM
3260,BIOX
3261,PMM
3262,RDNT
3263,HCKT
3264,CCD
3265,ALBO
3266,ARMK
3267,ATAX
3268,WMC
3269,UAA
3270,NKTR
3271,HYXE
3272,ARAV
3273,BBW
3274,BRFS
3275,FAM
3276,WSTG
3277,RTRX
3278,CL
3279,SUI
3280,IRL
3281,BWXT
3282,AT
3283,ACCP
3284,ZAGG
3285,NEWT
3286,NVUS
3287,CHU
3288,PUMP
3289,WOOD
3290,EDI
3291,CBX
3292,NATH
3293,CAAS
3294,BCTG
3295,EFSC
3296,SOJC
3297,RMG.WS
3298,UXIN
3299,RGNX
3300,VTOL
3301,TNK
3302,SFBC
3303,EPAC
3304,CLSN
3305,AYTU
3306,SMCI
3307,MHE
3308,TBLT
3309,IVA
3310,GILD
3311,NTEST
3312,PTNR
3313,AGNCO
3314,FIZZ
3315,SLB
3316,TOWN
3317,SF
3318,LMRK
3319,FSKR
3320,GPS
3321,ATRO
3322,ICE
3323,GAN
3324,BXC
3325,AMX
3326,LOAC
3327,QLYS
3328,TCOM
3329,WRTC
3330,BOX
3331,RY
3332,KDMN
3333,CHNR
3334,FL
3335,CIG.C
3336,ONTO
3337,TALO.WS
3338,GLNG
3339,AEL
3340,GHL
3341,IO
3342,GRAF.U
3343,AMCR
3344,MPLX
3345,BPOPM
3346,BDN
3347,SBLKZ
3348,RLMD
3349,TKC
3350,FSRVW
3351,TDOC
3352,NAT
3353,HVT.A
3354,BNSO
3355,AGD
3356,PPC
3357,OGS
3358,PFF
3359,BGY
3360,OXBRW
3361,GLYC
3362,STRM
3363,GMTA
3364,AGBAW
3365,CZZ
3366,STKL
3367,HECCW
3368,RYI
3369,CLF
3370,HUGE
3371,TRNO
3372,BHFAL
3373,POLA
3374,SNEX
3375,LIVE
3376,HCAPZ
3377,OGEN
3378,FSRVU
3379,HZO
3380,LAD
3381,BOOT
3382,ASUR
3383,EPIX
3384,PFE
3385,EYEN
3386,BPOPN
3387,NHLD
3388,IPHA
3389,CARG
3390,SALM
3391,SUM
3392,CFIIU
3393,KNOP
3394,FSI
3395,EIGR
3396,SOAC.WS
3397,GSH
3398,SBT
3399,SCOR
3400,TRP
3401,RLGY
3402,SLRC
3403,STNG
3404,OCFT
3405,LGVW.U
3406,IOR
3407,SDC
3408,BHFAP
3409,BMI
3410,SHLL.U
3411,DCI
3412,ESTE
3413,PBCT
3414,CHW
3415,EXAS
3416,ANTM
3417,ATTO
3418,TPZ
3419,SKM
3420,AN
3421,APOPW
3422,SSD
3423,NYCB
3424,KIO
3425,SCVX.U
3426,BSCN
3427,SJT
3428,TELA
3429,DD
3430,NVR
3431,IMRN
3432,ATNX
3433,PHUNW
3434,ASTC
3435,TWIN
3436,INGN
3437,BREW
3438,FVCB
3439,MCV
3440,PAYC
3441,D
3442,TUP
3443,GSKY
3444,HNNA
3445,YNDX
3446,TAK
3447,EMN
3448,INZY
3449,USFD
3450,MIE
3451,MNCLW
3452,PG
3453,ALL
3454,GXGXW
3455,PULM
3456,CHSCN
3457,CHPM
3458,FIXD
3459,MBCN
3460,MN
3461,ITCI
3462,CGNX
3463,AFL
3464,KSM
3465,GLW
3466,FICO
3467,GPMT
3468,KVHI
3469,IAC
3470,NYC
3471,DISCK
3472,WBAI
3473,FTACW
3474,PACD
3475,FLWS
3476,WFC
3477,BTG
3478,JP
3479,GFF
3480,GTEC
3481,TV
3482,NTST
3483,ITP
3484,NODK
3485,PPG
3486,PVAC
3487,GDYN
3488,ROK
3489,GURE
3490,DUC
3491,GGM
3492,NATI
3493,CCK
3494,JEMD
3495,BRKS
3496,OGI
3497,SSYS
3498,EOD
3499,FSLR
3500,TREE
3501,VEON
3502,MCACU
3503,GRCYU
3504,TTWO
3505,MRBK
3506,VOLT
3507,STKS
3508,CDNA
3509,MITO
3510,FEDU
3511,SENS
3512,ENR
3513,VLRS
3514,ASMB
3515,FAD
3516,VST
3517,STWD
3518,CRL
3519,BE
3520,AX
3521,IMGN
3522,CCEP
3523,CXE
3524,THO
3525,AKTX
3526,MCBS
3527,MTSI
3528,MOG.A
3529,TANNI
3530,NTIP
3531,FCA
3532,ASRV
3533,MCRB
3534,ARYBU
3535,SGBX
3536,CARV
3537,CSSE
3538,FWONA
3539,FLO
3540,WBND
3541,DMB
3542,BGIO
3543,DHY
3544,GPRK
3545,IDA
3546,GBLI
3547,PI
3548,CIBR
3549,CTR
3550,WTBA
3551,CIF
3552,TDI
3553,SQNS
3554,HWBK
3555,DOX
3556,VRNA
3557,NMIH
3558,LBAI
3559,HTLF
3560,TROX
3561,HIBB
3562,FEIM
3563,HRZN
3564,CMD
3565,EGHT
3566,ESEA
3567,ESGRP
3568,VBIV
3569,BBRX
3570,KKR
3571,CMRX
3572,TDG
3573,OVID
3574,JSML
3575,RILYN
3576,WEA
3577,MGI
3578,REG
3579,ESTC
3580,IPG
3581,RPAY
3582,TAL
3583,ATEST.B
3584,VSTO
3585,PATK
3586,TTD
3587,EXPO
3588,WY
3589,NEO
3590,TAOP
3591,TSCAP
3592,ACM
3593,UFAB
3594,GLDD
3595,VKTXW
3596,DSL
3597,MU
3598,CLCT
3599,SELB
3600,KFY
3601,OMC
3602,PRVL
3603,LMFAW
3604,SGLB
3605,MR
3606,COTY
3607,APEI
3608,FITBP
3609,SLM
3610,CODI
3611,AMHCW
3612,GIK
3613,BSTZ
3614,CAI
3615,BBDO
3616,CB
3617,FOE
3618,CASS
3619,PYN
3620,CBAN
3621,WING
3622,NVAX
3623,GLRE
3624,SCVX.WS
3625,SFE
3626,FCBC
3627,EVER
3628,MMAC
3629,USAP
3630,PCTI
3631,KWR
3632,OXY
3633,CAH
3634,PDEX
3635,CTIB
3636,FGEN
3637,CDW
3638,LSAC
3639,SMM
3640,RPM
3641,GRSVU
3642,ENG
3643,MRNA
3644,BCPC
3645,VTA
3646,FCAL
3647,MMD
3648,JCI
3649,PLBC
3650,MVIS
3651,GBIO
3652,EMF
3653,BTZ
3654,ONB
3655,LWAY
3656,XCUR
3657,FCBP
3658,HGBL
3659,TSLA
3660,ACRS
3661,FAT
3662,NMS
3663,GBDC
3664,PSO
3665,ITT
3666,WVE
3667,MOS
3668,ETFC
3669,NFBK
3670,BLCN
3671,CASI
3672,TCX
3673,LOACU
3674,CLNY
3675,CVLT
3676,EDSA
3677,RMG.U
3678,INFR
3679,FFIV
3680,NAZ
3681,STFC
3682,ICLK
3683,AMCA
3684,GLOB
3685,DWAW
3686,KALA
3687,NAVB
3688,PGC
3689,BRK.B
3690,TRCH
3691,VUZI
3692,FCAN
3693,AMT
3694,TCBK
3695,GES
3696,LAIX
3697,FTSM
3698,CYAN
3699,DYNT
3700,WTS
3701,DOMO
3702,FRT
3703,YCBD
3704,ALIT
3705,BNTX
3706,SY
3707,HNRG
3708,ONDK
3709,DRIOW
3710,CHMG
3711,NSIT
3712,AXLA
3713,BSCQ
3714,DADA
3715,ZYME
3716,SKY
3717,SATS
3718,DT
3719,DEH.U
3720,MMU
3721,LOAK.WS
3722,ZBRA
3723,EVBN
3724,SFST
3725,ESS
3726,RMI
3727,FNKO
3728,AI
3729,FUL
3730,ARES
3731,VRT
3732,LBRDA
3733,RHP
3734,SJM
3735,SSKN
3736,CTIC
3737,TYG
3738,PZZA
3739,GV
3740,BPY
3741,CBPO
3742,CIK
3743,PFPT
3744,SOL
3745,SSPKW
3746,SOAC.U
3747,COWNL
3748,PIC.U
3749,RFEU
3750,BLCM
3751,BTA
3752,CREE
3753,THFF
3754,KGC
3755,FAMI
3756,QD
3757,TDF
3758,ERIC
3759,SHLL
3760,HEAR
3761,NVCR
3762,TGP
3763,ORN
3764,VICR
3765,API
3766,IHD
3767,THTX
3768,TSEM
3769,LACQW
3770,ACWI
3771,BJRI
3772,EXPD
3773,LGC.WS
3774,FFIN
3775,GWW
3776,PCI
3777,AGYS
3778,KAMN
3779,MRC
3780,NWL
3781,NICK
3782,VGZ
3783,IPAR
3784,BTN
3785,FULC
3786,EFX
3787,QADA
3788,BSMR
3789,NSPR
3790,PFHD
3791,ESP
3792,WNEB
3793,OFIX
3794,BAC
3795,NBSE
3796,HOOK
3797,MSI
3798,SCX
3799,VIE
3800,ORI
3801,URBN
3802,BERY
3803,JVA
3804,ENPH
3805,CIA
3806,EQH
3807,NEA
3808,POWI
3809,CHA
3810,DKNG
3811,APVO
3812,RNLX
3813,ACHV
